michael:   there is nothing wrong, nor will there ever be wrong with any sabre printers. case closed.  michael scott, as seen on tv
todd packer:   i saw you on the news and i want to pinch your tiny wiener… its packer
michael:  two whistleblowers… two! i always thought darryl and pam might get me fired for something i said.
pam:   yeah?  i weirdly know exactly what youre saying to me
michael:  so see you in merediths van in five minutes
pam:  yeah, you didnt need to actually say it.
pam:   i have never seen so many parking tickets
darryl:  all right, this is just messed up.
michael:  no, you know whats messed up? this situation all up in here is whats messed up! we need to brainstorm, we need to get out of this! brain hurricane. come on, think.
darryl:  all right
michael:  what do we got
pam:  um
kelly:   hey guys, sorry im late
pam:  were not going for yogurt
michael:  its okay, shes cool, she also whistle-blew
kelly:  guys, i couldnt help it, it is so boring where we work. i mean, its as interesting as a morgue. it might be less interesting than a morgue
michael:  hey, hey, its as interesting as a morgue.
kelly:  of course im the leak! i think i tweeted it! i cant control what i say to people, i spend the whole day talking! i mean, i video chat, i skype, i text, i tweet, i phone, i woof…
ryan:  woof is a site that im launching to be the last word in social networking. for just $12.99 a month, woof links up all your communication portals so you are always within reach. its part of the dog pack, as i call it. but, look, why tell you when i can show you.  i just sent myself a woof.
erin:   ryan, you have a woof on line 1
ryan:  thank you, erin. woof!
michael:  okay, heres what we do. i say we just smash all the computers. we destroy the evidence. no evidence, no case
pam:  wouldnt we get fired for smashing all the computers
michael:  no. okay, not all the computers, just our computers
kelly:  that idea sucks
pam:  i dont think thats a good idea
michael:  just dont say no
darryl:  michael, you know you dont have to turn us all in. all you need is one scapegoat
kelly:  uh, if you turn me in, im turning in darryl
michael:  thats just what we need, another black man in prison. you know, lets just
pam:  nobodys going to prison, okay? um… all right, michael, you need to convince jo to go easy on us. and then well all confess once we know our jobs are safe
michael:  okay. you can count on me.
dwight:   let me give you a hand.
toby:  im hungry
dwight:  ready?  got it? oh shoot. got it?  dwight schrute
realtor:   the property youre looking at is in great shape. by the way, it has a very spacious basement office
dwight:  basement office? you mean like a lair?
michael:  hey jo
jo:  michael
michael:  i was thinking about our little leak problem. i was up all lunch thinking about what we should do to this individual. you know what i think we should do? we make em come to work, and we work em, and we make em sit next to all the people they screwed over. and, and we pay em but we make em feel like they did something really wrong. the one question i have is, do we give them a christmas bonus? i say yes, its christmas, but right after theyre back in the thick of it
jo:  michael scott… what do you know
michael:  what?
michael:  it doesnt matter what i know.
jo:  if it doesnt matter, then tell me
michael:  why
jo:  because i want to deal with it the way i deal with it
michael:  well, deal with this.
jo:  empathize with me for a moment. i came up here with a big problem, and now i got a branch manager whos giving me the silent treatment… speak to me… speak.  come with me
michael:  what?
gabe:   are you leaving? oh, am i… should i continue with the investigation?
michael:  are you going to kill me
jo:  hahahahahaha.
realtor:   i just need you to come by later and sign a few forms
dwight:  okay
realtor:  what time works for you?  mr. schrute, what time works
dwight:  cancel it. i want you to make an offer at seventeen twenty-five slough avenue. make em an offer they cant refuse. no, on second thought, low ball them. dont call me til you have it.
realtor:  but… 
michael:   are we going some place far away? i know you said no questions, but… i have an early dinner that i need to get to… with the chief of police.
creed:  im very relieved to learn it wasnt you
gabe:  all right. uh, stan, youre up
stanley:  it wasnt me
gabe:  what a rich timbre your voice has. okay, i am prepared to conclude the investigation. and… you did it.
andy:  what? based on what
gabe:  uh, just all the evidence. and it really seems like it was you. can we all agree to say that it was andy for now, and sit with it, see how it feels
dwight:  all right. sounds good
jim:  guys, i think that seems a little unfair. i mean, i feel like we dont definitely know it was andy
andy:  yeah. you know, i mean, for all we know it could have been… jim
jim:  really?
jo:  michael
michael:  i have rights
jo:  lets just talk
michael:  i am not going to tell you anything
jo:  honey, you dont seem like your normal self
michael:  well, im going through a little bit of a rough patch
jo:  mama jo knew there was something up
michael:  whole year, actually. my favorite restaurant closed down
jo:  oh, i hate that
michael:  and my new favorite restaurant sucks… i bought a video camera last year, and i was looking at the tapes, and there were only like twelve minutes that i felt was worth taping the whole year. and most of that was just birds in my condo complex. what is that? … i miss holly
jo:  whos holly
michael:  holly flax from the nashua branch. best hr rep that dunder mifflin has ever seen. its not been a blockbuster year for me financially. my blockbuster stock is down.
kevin:  well, i think that the real question is: who is the whistleblower
dwight:  oh, just…
david wallace:  i may have heard from an old client, and i may have immediately started spreading the news to other clients and potential clients, yeah. but im not here to talk about that. i am here to talk about suck it. suck it.
andy:  gabe, i told you all about the printers.
jim:  i mean, it could be you, gabe. i mean, thats the point
pam:  yes, its totally obvious
creed:  i think we all can agree that its either gabe or angela.  its angela. get her, boys
nick:  hey guys, uh, sorry to interrupt. i just wanted to say goodbye to everyone. through teach for america, im going to go down to detroit and teach, uh, inner city kids about computers
gabe:  uh, not now
nick:  oh yeah, its just that my friends are in the car waiting, so i thought i would
stanley:   phyllis, whats this guys name again
phyllis:  i dont know, is it shadow or garth, its something weird, i
nick:  my name is nick
angela:  okay, well, nick, were in a meeting
nick:  okay, look, i get it, people. im the lame it guy, and everybody hates me
jim:  hey, listen man, you cant take it personally
nick:  you called me man? i just said my name just now, did you forget it already
jim:  no… sport
nick:  you, you guys have fifteen parties a week, you cant learn my name
dwight:  hey, hey, hey, hey, hey, hey, hey, hey it guy. heres the story, champ. none of us have spent a lot of time getting to know you, okay? we liked the last guy, siddiq, because he kept to himself, and we also thought he might have been a terrorist. you know what, im going to leave you with one other thought. inner city kids use computers for two things, games and porn. so good luck wasting your life, lurch.
nick:  thank you so much for that. i saw all your hard drives, and guess what?  youre not a photographer.  and you definitely cant fit into a size two. darryl, man, youre on facebook. why you been telling people youre not on facebook? people want to be your friend, man! all right? and you.  this guy, youre the one who told the press. you wrote an e-mail to the editor. i saw it, and i also saw a quicktime movie of your little printer fire test on your hard drive. this guys the snitch, hes the snitch. so thats it, check it out.
andy:  youre going to believe that guy?
jo:  when i was growing up, there was nothing better than being a big old business tycoon. and i thought id break that glass ceiling and be a hero to all those little girls out there… and theyd make a barbie out of me
michael:  hmm, hmm
jo:  i, did i sell cheap printers? i do. but if i have to go out there in front of the press and make one of them public apology recalls, i mean, its all ill ever be remembered for. nobody will want to play with my barbie
michael:  you know, i would be willing, under the right circumstances, to do that for you
jo:  oh honey, surely you dont want that
michael:  i, i surely do, and dont call me honey.  you were playing too.
dwight:  im about to buy this building, you know
hank:  you dont say? i own a one-eighth share in a rental property down in pittston
dwight:  well, im one-eighths proud of you… enjoy that chair for now… cause pretty soon, you will be on your feet, at buckingham palace.
andy:  hey phyllis, have you seen my bag
phyllis:   you deserve it.
andy:  look, i didnt want houses and schools to burn down, and children to die. does that make me a hero? i
kevin:   no, it does not
andy:  well, it doesnt make me the worst guy in the world, either
angela:  it does!
erin:  andy
andy:  hey
erin:  i wanted to say that i think it was very brave of you to go to the press
andy:  uh, thanks. yeah, you know, just seemed like the right thing to do
erin:  yeah.
michael:   we at sabre have betrayed the trust that we have built with our customers. we regret our slow response and our lapse in candor and judgment. at this time, we are issuing a full recall of all sabre gh400 printers. we will not rest until this problem is solved. there will be no questions. are there any questions?
jo:  hey, i appreciate you reading that statement. you looked pretty up there
michael:  that was fun
jo:  i hope your rough patch ends soon
michael:  thanks. today helped
jo:  well, give me a shout if i can brighten your life
michael:  okay. hey, you could transfer holly back from nashua.
jo:  let me see what i can do.
